GATE_GW_SL: -3244.285><189.113><-2244.588><200.2518><1><><48><35
SL_ROOF04: 2903.503><609.9036><2123.105><364.0749><1><Looks to the Moon><48><149
SL_MOONTOP: 2902.055><272.4888><2184.357><128.7596><1><Looks to the Moon><62><81
SL_ACCSHAFT: 3127.815><881.6777><2235.099><616.6897><1><Looks to the Moon><201><35
SL_ROOF03: 3183.419><1043.611><2240.638><743.7428><0><Looks to the Moon><216><78
SL_TEMPLE: 2672.607><1047.185><1996.967><747.7418><0><Looks to the Moon><107><78
SL_STOP: 2555.798><893.8508><2002.763><614.5496><0><><48><35
SL_ROOF01: 2062.545><996.0538><1366.927><753.4227><0><Looks to the Moon><306><35
SL_WALL06: 1540.904><1004.416><1246.092><727.5622><0><Looks to the Moon><48><62
SL_C16: 950.3661><417.9046><1104.128><1121.796><2><><152><35
SL_I02: 474.9479><366.7856><777.6519><1048.294><2><><154><70
SL_SCRUSHED: 530.8343><208.5278><906.7634><913.7319><2><><48><35
SL_B10: 167.2891><256.562><662.5576><972.9076><2><><48><72
SL_B11: -34.48983><170.0622><452.0806><953.6402><2><><96><35
SL_B02SAINT: -239.134><75.17664><-19.5302><866.777><2><><209><37
OffScreenDen_SL: -1769.133><-155.8232><-1640.529><-194.2239><1><Shoreline><0><0
Connection: GATE_GW_SL,SL_A08,0,0,0,0,0,0
Connection: SL_A08,SL_S07,0,0,0,0,0,0
Connection: SL_A08,SL_C12,0,0,0,0,0,0
Connection: SL_C12,SL_F01,0,0,0,0,0,0
Connection: SL_A14,SL_B02SAINT,0,0,0,0,0,0
Connection: SL_A14,SL_A17,0,0,0,0,0,0
Connection: SL_A14,SL_E03,0,0,0,0,0,0
Connection: SL_E03,SL_H03,0,0,0,0,0,0
Connection: SL_E03,SL_S11,0,0,0,0,0,0
Connection: SL_A02,SL_C01,0,0,0,0,0,0
Connection: SL_A02,SL_B02SAINT,0,0,0,0,0,0
Connection: SL_A02,SL_A17,0,0,0,0,0,0
Connection: SL_C01,SL_B01,0,0,0,0,0,0
Connection: SL_C01,SL_A13,0,0,0,0,0,0
Connection: SL_A13,SL_A04,0,0,0,0,0,0
Connection: SL_B01,SL_D06,0,0,0,0,0,0
Connection: SL_F01,SL_C08,0,0,0,0,0,0
Connection: SL_F01,SL_C02,0,0,0,0,0,0
Connection: SL_C02,SL_D06,0,0,0,0,0,0
Connection: SL_C02,SL_C10,0,0,0,0,0,0
Connection: SL_C02,SL_F02,0,0,0,0,0,0
Connection: SL_C10,SL_A10,0,0,0,0,0,0
Connection: SL_A10,SL_D02,0,0,0,0,0,0
Connection: SL_F02,SL_S05,0,0,0,0,0,0
Connection: SL_F02,SL_D06,0,0,0,0,0,0
Connection: SL_F02,SL_D04,0,0,0,0,0,0
Connection: SL_D04,SL_A12,0,0,0,0,0,0
Connection: SL_D04,SL_H02,0,0,0,0,0,0
Connection: SL_A12,SL_A04,0,0,0,0,0,0
Connection: SL_H02,SL_H03,0,0,0,0,0,0
Connection: SL_H02,SL_E02,0,0,0,0,0,0
Connection: SL_H03,SL_C09,0,0,0,0,0,0
Connection: SL_H03,SL_C07,0,0,0,0,0,0
Connection: SL_C09,SL_A16,0,0,0,0,0,0
Connection: SL_A16,SL_S10,0,0,0,0,0,0
Connection: SL_A16,SL_I01,0,0,0,0,0,0
Connection: SL_I01,SL_A15,0,0,0,0,0,0
Connection: SL_A15,SL_S06,0,0,0,0,0,0
Connection: SL_A15,SL_AI,0,0,0,0,0,0
Connection: SL_AI,SL_MOONTOP,0,0,0,0,0,0
Connection: SL_C08,SL_C05,0,0,0,0,0,0
Connection: SL_C05,SL_S09,0,0,0,0,0,0
Connection: SL_C05,SL_C04,0,0,0,0,0,0
Connection: SL_C04,SL_D01,0,0,0,0,0,0
Connection: SL_D01,SL_D02,0,0,0,0,0,0
Connection: SL_D01,SL_ECNIUS01,0,0,0,0,0,0
Connection: SL_D02,SL_D03,0,0,0,0,0,0
Connection: SL_D02,SL_TUNNELA,0,0,0,0,0,0
Connection: SL_D03,SL_A04,0,0,0,0,0,0
Connection: SL_D03,SL_A07,0,0,0,0,0,0
Connection: SL_A07,SL_E01,0,0,0,0,0,0
Connection: SL_A04,SL_S03,0,0,0,0,0,0
Connection: SL_A04,SL_A11,0,0,0,0,0,0
Connection: SL_E01,SL_B04,0,0,0,0,0,0
Connection: SL_E01,SL_C03,0,0,0,0,0,0
Connection: SL_E01,SL_A05,0,0,0,0,0,0
Connection: SL_B04,SL_C03,0,0,0,0,0,0
Connection: SL_C03,SL_A11,0,0,0,0,0,0
Connection: SL_A05,SL_ECNIUS02,0,0,0,0,0,0
Connection: SL_A05,SL_E02,0,0,0,0,0,0
Connection: SL_E02,SL_S08,0,0,0,0,0,0
Connection: SL_E02,SL_C07,0,0,0,0,0,0
Connection: SL_C07,SL_C14,0,0,0,0,0,0
Connection: GATE_SL_MS,SL_ROOF03,0,0,0,0,0,0
Connection: GATE_MS_SL,SL_WALL05,0,0,0,0,0,0
Connection: GATE_MS_SL,SL_S15,0,0,0,0,0,0
Connection: GATE_SL_CL,SL_C16,0,0,0,0,0,0
Connection: GATE_SL_VS,SL_TUNNELA,0,0,0,0,0,0
Connection: SL_C14,SL_C15,0,0,0,0,0,0
Connection: SL_C15,SL_WALL02,0,0,0,0,0,0
Connection: SL_WALL02,SL_WALL05,0,0,0,0,0,0
Connection: SL_ECNIUS01,SL_ECNIUS03,0,0,0,0,0,0
Connection: SL_ECNIUS02,SL_ECNIUS03,0,0,0,0,0,0
Connection: SL_ROOF04,SL_ACCSHAFT,0,0,0,0,0,0
Connection: SL_ROOF04,SL_MOONTOP,0,0,0,0,0,0
Connection: SL_ACCSHAFT,SL_ROOF03,0,0,0,0,0,0
Connection: SL_ROOF03,SL_TEMPLE,0,0,0,0,0,0
Connection: SL_TEMPLE,SL_ROOF01,0,0,0,0,0,0
Connection: SL_TEMPLE,SL_STOP,0,0,0,0,0,0
Connection: SL_ROOF01,SL_WALL06,0,0,0,0,0,0
Connection: SL_C16,SL_I02,0,0,0,0,0,0
Connection: SL_I02,SL_B10,0,0,0,0,0,0
Connection: SL_I02,SL_SCRUSHED,0,0,0,0,0,0
Connection: SL_B10,SL_B11,0,0,0,0,0,0
Connection: SL_B11,SL_B02SAINT,0,0,0,0,0,0
